"Absolute
Distance
(Km)",Column4,"Length
(mm)","Width
(mm)","Absolute
Distance
mm",L+A
0.0000,360,,,0,0  
0.0000,360,,,0,0  
0.0000,360,,,0,0  
0.0007,0,,,730,730  
0.0013,0,,,1260,1260  
0.0017,0,,,1653,1653  
0.0017,360,,,1669,1669  
0.0020,360,,,2048,2048  
0.0004,360,,,352,352  
0.0010,360,,,1030,1030  
0.0021,360,,,2059,2059  
0.0003,360,,,301,301  
0.0007,0,,,694,694  
0.0028,201.75,34  ,45  ,2780,2814  
0.0028,180,28  ,31  ,2818,2846  
0.0028,155.25,30  ,48  ,2825,2855  
0.0029,193.5,86  ,89  ,2883,2969  
0.0030,171.75,35  ,84  ,2960,2995  
0.0032,185.25,15  ,24  ,3151,3166  
0.0038,193.5,47  ,50  ,3754,3801  
0.0040,193.5,28  ,51  ,3955,3983  
0.0041,193.5,28  ,37  ,4069,4097  
0.0041,185.25,23  ,20  ,4129,4152  
0.0045,185.25,26  ,21  ,4532,4558  
0.0055,360,,,5451,5451  
0.0007,270,,,676,676  
0.0013,360,,,1335,1335  
0.0002,270,,,176,176  
0.0002,0,,,180,180  
0.0003,360,,,325,325  
0.0003,360,,,306,306  
0.0010,360,,,1041,1041  
0.0021,360,,,2053,2053  
0.0003,360,,,290,290  
0.0003,360,,,296,296  
0.0002,0,,,197,197  
0.0002,270,,,210,210  
0.0005,0,,,497,497  
0.0011,133.5,60  ,91  ,1082,1142  
0.0011,223.5,107  ,499  ,1101,1208  
0.0019,360,,,1919,1919  
-4.9097,360,,,-4909702.007,-4909702  
-4.9126,51.75,65  ,265  ,-4912586.007,-4912521  
-4.9126,111.75,78  ,325  ,-4912564.007,-4912486  
-4.8960,360,,,-4895984.619,-4895985  
-4.9072,95.25,,,-4907153.619,-4907154  
-4.9052,360,,,-4905153.619,-4905154  
-4.8994,360,,,-4899408.829,-4899409  
-4.9032,5.25,30  ,43  ,-4903233.829,-4903204  
-4.9032,73.5,28  ,40  ,-4903222.829,-4903195  
